verb,irregular_past,particle,preposition,objects
bite,bit,,,1
bore,,,,1
break,broke,,,1
bring,brought,,,2
bring,brought,,to,2
build,built,,,1
buy,bought,,,1
catch,caught,,,1
clean,,up,,1
cook,,,,1
cut,cut,,,1
cut,cut,,with,2
disgust,,,,1
draw,drew,,,1
eat,ate,,,1
fall,fell,,on,1
feed,fed,,,1
fight,fought,,with,1
find,found,,,1
freeze,froze,,,1
give,gave,,,2
grab,,,,1
hate,,,,1
have,had,,,1
hit,hit,,,1
hit,hit,,with,2
hold,held,,,1
interest,,,,1
jump,,,on,1
kick,,,,1
kill,,,,1
kiss,,,,1
like,,,,1
love,,,,1
make,made,,,1
make,made,,out of,2
marry,,,,1
own,,,,1
pick,,up,,1
put,put,away,,1
play,,,with,1
pull,,,,1
push,,,,1
ride,rode,,,1
see,saw,,,1
sell,sold,,,1
sell,sold,,to,2
shake,shook,,,1
show,,,,2
sleep,slept,,on,1
smell,,,,1
steal,stole,,,1
surprise,,,,1
take,took,,,1
teach,taught,,about,2
throw,,threw,,1
throw,threw,,at,2
use,,,,1
wash,,,,1
wear,wore,,,1
